@relation 'train-set'

@attribute 'Document Text' string
@attribute subtask_b {"TIN", "UNT"}

@data
' she should ask a few native americans what their take on this is',UNT
'  go home you are drunk  maga trump2020 oncoming fistunited statesoncoming fist ',TIN
' someone shouldvetaken this piece of shit to a volcano face with tears of joy',UNT
' liberals are all kookoo ',TIN
'  oh noes tough shit',UNT
' was literally just talking about this lol all mass shootings like that have been set ups it is propaganda used to divide us on major issues like gun control and terrorism',TIN
' canada does not need another cuck we already have enough looneyleft liberals fucking up our great country qproofs trudeaumustgo',TIN
' you are a lying corrupt traitor nobody wants to hear anymore of your lies deepstatecorruption ',TIN
'   gun control that is all these kids are asking for',TIN
'    lol   throwing the bullshit flag on such nonsense  putuporshutup   kavanaugh   maga   callthevotealready ',TIN
'  kind of like when conservatives wanna associate everyone to their left as communist antifa members',TIN
'  da fuck is going on people   theres the mens room and the womens room  pick one and stick w it thinking face',TIN
' tbh these days i just dont like people in general i just dont connect with people these days just a annoyance',TIN
'   she  to whom are you referring to  hillary  you know what is tiresome  bernie supporters bashing hillary clinton  she is an actual democrat who raises money for the democratic party and does not bash them  she has a positive message  so who is dividing the left',UNT
'the only thing the democrats have is lying and stalling to stop trump from being president  what have they done for you lately trump kavanaugh maga demsuck',TIN
'                                                  you are not very smart are you why do you think gen flynn sentencing keeps being rescheduled ',TIN
'   thats expected if you placate the violent leftists terrorists kavanaughconfirmation woke',TIN
'4 out of 10 british people are basically full on racists 4 out of 10 voters vote for the conservatives coincidence',TIN
' fuck off',TIN
'  the prison system is so fucked  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like 500 inmates went missing',TIN
'  she is useless  attempts to do the right thing but never follows through',TIN
' grateful trump does not have a dog in the white house he is a cruel man',TIN
' trump kicks dem butt   its so fun',TIN
'   he is dumb and dumber all in one president  its a two for one',TIN
' and this from the clown that should be in prison',TIN
' thats because you are an old man',TIN
'   they are obstructionists anti american pharisees ask them what they are running on and you get nothing maga',TIN
' i mean it worked for gun control right ',TIN
' she is drinking so much koolaid she is bloated',TIN
'    the institution only let her tweet when she behaves she is a window licker',TIN
'wtc this is a threat  maga qanon wakeupamerica ',TIN
'   please call trump out for what he isa narcissistic sociopath',TIN
' fuck em',TIN
' good movehe is the big loser',TIN
' its literally a narrative that is on par with nazis punch  antifa punch  they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews  the other just wants to prevent them from doing that  and this comparison benefits fash',UNT
'  there are many dumb arguments for gun control but this may be the dumbest and most common',TIN
'   please dont kill me antifa on the other hand',TIN
'  she is an ugly black hearted troll ',TIN
' dont believe the hype',UNT
'  we have been saved from you maga',TIN
' you can probably imagine all the sjw snowflakes that dont feel safe working where there might be conservatives lurking in the shadows  conservatives are now the ruskies of the 21st century',TIN
' this all i get crying face damn these haters deleting you ig for no reason ',TIN
' sjshsj thats my job bitch',TIN
'   what part of no collusion dont you get this is why you are a dumocrat',TIN
' if the reason for farakans illegal values are because he is black or muslim  that would be a reason to detest him i believe his illegal values are simply a result of bad character  like his supporters',TIN
' let the leftist democrats riot in the streets with their antifa counterparts',TIN
'  antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached',TIN
' so has the law changedyou just make an allegation now days and your guilty until proven innocent liberals are mentally ill',TIN
' this game sucks donkey balls',TIN
' absolutely should be a nail in the coffin for hilliary',TIN
' he is a dumbass ',TIN
'           and levistrauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms ',TIN
' at this point in time i dont think pres trump gives a shit and neither do i lol ',TIN
' donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail',TIN
' oh my carmen he is so fricking cute',TIN
' chelsea is as crazy as her mother',TIN
' and the brainless dems wants us to believe that he doesnt have the majority liberals is just like their leaders the corrupts obama and crookedhillary both are real bad losers maga trump',TIN
'  california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control',TIN
'  and yet millions of permit holding people carried legally concealed firearms that same day and did not hurt themselves or anyone else   but yet they want to have stronger gun control   idiots  face with raised eyebrow  our wonderful media has to hype incidents that fits their agenda',TIN
' yes do hurt your selves gun control freaks',TIN
'   bullshit regulations are good because it keeps conservatives from striping our land into the abyss',TIN
' the owner of my culo',TIN
'now she scarred herself for life lol maga ',TIN
' you fucking  ',TIN
'confirm the man the left wing activist is a liar whos story changes no hard evidence christineblaseyford innocent until proven guilty confirmkavanaugh  maga    weakrinos republicans',TIN
'im assuming im not going to get an answer brainless  liberal stooge ocasio cortez   on $40t policy plan  wakeupamerica  this is not americas future vote republican  or surrender america to these dem morons  maga',TIN
'  leftists showing yet again how vile they can be',TIN
' he is a drunk crazy man',TIN
' all that money hadnt made u smarter',TIN
' yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdownwinking face',UNT
' by the way why do not you move to haiti  you liberals seem to make shit holes out of large cities so go somewhere where it is already a shit hole so you do not have to do any work ',TIN
'shouldnt pussy grabbing  be the one wearing the gloves while handling food maga ',TIN
'            antifa doesnt beat facsists to try to get them to change their mind   they know its a lost cause to try to change a fascists mind they do it to scare them into hiding  to demoralize them  and to stop the spread of their hateful ideology there is no forcing views on others',TIN
'firemorningjoe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump ',TIN
'  truly has got to be the most idiotic thing ive ever seen',UNT
'         it does work if you want to control a population  australian gun control had no effect on homicides',TIN
'  liberals ruin everything',TIN
' thats what happens when you let a liberal get a hold of a gun  that would be a good place to start gun control  ban liberals from getting guns',TIN
'  you look happy maga',TIN
' yet she is fat herself',TIN
'   what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about followers like its a big party i care that they discriminate ',TIN
'   may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens do not believe all the shit that goes on in your head',TIN
'  just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliancewhat ever the hell that is',UNT
' cause who bitches be playing with loudly crying faceloudly crying faceloudly crying faceloudly crying face god aint give me the gift for nothing',TIN
' coming from the man that threatened to try and kick turmps ass now dont that take a set of balls',TIN
' getting scared ugly man',TIN
'     bitch ',UNT
'amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests',TIN
' yea your the bitch on the right getting smacked ',UNT
' hahaha big thighs is not going to make it',TIN
'maga christineford trump2020 tcot ccot americafirst patriots   brettkavanaugh had this to say about bill clinton during whitewater   its imperative to make his pattern of revolting behavior clear    piece by painful piece   indeed ',TIN
'maga people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government   and what jobs did he create labour which pays less than living wage lmao ',TIN
' bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious',TIN
'a bitch built like that could beat my ass all she wants ',TIN
'  very pathetic man ',TIN
'      you must be talking about hateful conservatives',TIN
'  thats correct maga',TIN
'   this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts     ',TIN
'    this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode andsadly  alyssa milano just wet her pants again great team',TIN
' stratadata ai data hairball  tdavis touring the application of cognitive and machinelearning techniques to speed governance of data ',TIN
'    i wasnt proposing scare tactics i really meant what i said trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics think about it',TIN
'    only a liberal would support a liberal that spent a million to get liberals elected to office libfail ',TIN
' it is so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘liberals think all criminals should be free’  it reveals a pretty brutalist and impenetrable mind',TIN
' what the fuck game are you watching',UNT
' why why are liberals so trashy',TIN
' yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i do not think he is a big fan of her policies he is not that stupid please',TIN
' if you go by anything other than he or she you are fucked in the head',TIN
' all you need to know is he is empty inside',TIN
' the liberals are mentally unstable',TIN
'  who authorized a search warrant of mr jean home  racist what about her drug test this is premediated murder he will not be slandered he is the victim',TIN
'   i have heard he is making waves',TIN
'thursdaythoughts  fuck liberals forever',TIN
' once again its been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the 2a criminal *dont* care about gun laws',TIN
'  mxm nigger thinks we give a fuck ',TIN
'  she is a fake vote her out now she wants sympathy',TIN
'10kids from different women from this american jobless men nigerian men you are the bomb',TIN
' this russian agent is a disgrace hey old creep  you are going to die in prison you and trump sold america to the russians and it is time you do the time for your years of crimes scumbag',TIN
' what insanely ridiculous bullshit',UNT
' we should not be surprised these same pigs worked with neonazis to unmask antifa protestors and the local coverage by shit journos like  did not cover that at all we had to rely on  for investigative coverage ',TIN
'  because 45 of americans are too lazy to vote  non voters skew liberal and too many liberals who do vote throw their vote away on 3rd party losers next question',TIN
'  im sure he doesnt call his gated communitys private security firm bull connors though its funny now liberals love privatization of police',TIN
'  wonder how many children he molested',TIN
'  oh you are in england  your views on gun control stopped mattering in 1776',TIN
'      this is the antifa party amp all of a sudden they expect us to believe they care about anyone besides themselves nope',TIN
' ouch',UNT
'  wonder if he apologized to diamond and silk for calling them a minstrel show  he should have been fired but there he is making faces',TIN
' which is why it is awesome that kavanaugh did not shake that gun control dads hand  sorry for kid was killed by a gun but it is not the future judges fault it happened omg white people in cities are silly',TIN
' john podesta is a spirit cooking pedo heres a photo of him and valerie jarrett in a rather compromising situation  maga qanon drainthedeepstate draintheswamp ',TIN
' i love the way this pisses off liberals ',TIN
'   my auto correct gggrrr she is a *crazy witch*',TIN
'  when i turned the speech on it sounded to me like liberals becoming another nasty party with his personal attacks on various individuals',TIN
' another negative democrat who refuses to disappear',TIN
' as my elected mp could you please explain why  is still promoting ideas that the eu have already rejected weve 6 months to go and nothing appears to be moving onward  are like the blind leading the blind brexitshambles brexitmeansbrexit ',TIN
' so she ca not be effected by the radiation but killed i hope he mentions lady gaga witch since she is the only known immortal witch and supreme',TIN
'2020 election season  trump my dick is the most magnificent dick just tremendous   leftists prove it you russian puppet  trump *whips dick out in fit of senility*  conservatives *vote trump to victory*',TIN
'    interesting when demoncraps arent even inventive enough to create their own cartoons  this is originally put out by republicans   liberals are the koolaide drinkers and always have been liberals are also the scum of the earth and prove it daily through their lies',TIN
' ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him',TIN
'    he is dead so you are a necrophiliac as well good to knowyou must suck at chess never mind 3 dimensional chessyou ca not even think one move ahead let alone manychange your twitter handle to dumbaf not even ishface with rolling eyesface with rolling eyesface with rolling eyes',TIN
'                                                 they get testy and decide youre a paid shill a lot  if you end up hanging around qanon youll get used to it',TIN
'   trump is a very sick man he is toxic and mean spirited',TIN
'va10 voters know  is the right side of the gun issue gun control or gun rights the answer may help determine whether nra financed rep comstock wins reelection ',TIN
' oshaeterry thuglife criminal behaved as an ordinary disposable criminal maga maga2020 magarallyrules texaspolice',TIN
'  she is full of bunk',TIN
' hell did they boycott mcenroethis is too much',TIN
'anti antifa is balls',UNT
' im going hardcore bitch',TIN
' i used to do signifing monkey by heart played it for the wife and she is like what the hell',TIN
' i think she is the one mad  she didnt like being called out so she is trying to make them bully me grinning squinting face',TIN
'   so she is disgusting to you because she is a rangers fan you are disgusting to me because you support breaking up the union  proudtobebritish united kingdom',TIN
' they should hopefully voters will realise that they could have ended this shitshow well before the midterms',TIN
' 2018 charts she is overall fuck no cardi got ways to go to catch niki',UNT
'   i think i missed a few replies here im on a conference call but most of the anti jihadi muslim vets i know would disagree with gun control so this seems odd',TIN
' look at all these racist white liberals freaking out because i said tom arnold has white privileged',TIN
