@relation 'subtask_c_testset'

@attribute 'Document Text' string
@attribute subtask_c {"OTH", "IND", "GRP"}

@data
'whoisq wherestheserver dumpnike declasfisa democrats support antifa  muslim brotherhood  ms13  isis  pedophilia  child trafficking  taxpayer funded abortion  election fraud  sedition and treason lockthemallup wwg1wga qanon ⁦ ',OTH
'nopasaran unity demo to oppose the far right in london – antifa oct13   enough is enough ',GRP
'   what the fuck did he do this time',IND
' do you get the feeling he is kissing  behind so he can humiliate him later',OTH
'stopkavanaugh he is liar like the rest of the gop ',IND
'  put delauro in a police lineup identifying the bag lady   she would be picked everytime she has to be proof either conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy no one votes for a woman that gross',IND
' all family friends   do not tell me  bad shit that your bf gf did to you just to go right back to them',GRP
'christineblaseyford is your kavanaugh accuser liberals try this every time confirmjudgekavanaugh ',IND
'arianaasesina is that serious holy shit  please your fucking assholes  dont blame someone for the death of other one she is sad enough for today  dont you see it isnt fault of none  he had an overdose and died end stop wanting someone to blame  fuckers',IND
' how is she hiding her ugly personality she is the worst',IND
'         i am shocked to learn human traffickers had guns  some probably illegal too  ca needs more gun control  but do not worry about the actual crime  the pic of black guns is worse',GRP
'conservatives    youre  a clown  ',IND
'kids beating paraplegic trump boy  left teach their children hate violence  schools teachers democrats liberals walkaway moms mother nea teachthemyoung christian catholic jews evangelicals family blackwomen blacktwitter blacks news media disabled maga ',GRP
'*gets all the bitches*',OTH
'antifa take note of how to protest with civility   this is why socialism aka communism will never win it is inherently evil and unsustainable ',GRP
' omg is he for real  this happened in peru like 40 years ago and the inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i ',IND
'conservatism101   its not about our disagreements with conservatives its that conservatives cant debate honestly  and they have no integrity whatever gets them thru today  is all that matters to them theyre fundamentally dishonest people ',GRP
'    then why are not there so many shootings in virginia  jacksonville shooter got his guns in maryland among the poster children for gun control  what good did that do  you are full of crap',GRP
'antifa are bedfellows with the democratic socialists of america dsa who jamesokeefe has exposed as being inserted throughout government  attempting to bring down america  trump magaunited states deepstate  ',OTH
' antifa has ts level influence its scary',OTH
' i have three accounts two quasi anonymous  and one completely anon and if twitter ever bans one of the quasi anon  ill make two anon accounts and tweet the most insane shit i will drown twitter in bullshit if one of those is banned  ill make even more',IND
'liberals are so pathetic  innocent until proven guilty mean much  democrats should look at their own party if they need a rapist to hang  kavanaughisinnocent walkawayfromdemocrats liberallies are straight from the pitts of hell fire ',GRP
'$10 million reallocated from fema to ice this guy gives zero shits about anyone not named trump if you are in the mid atlantic  get out now ',IND
'fortnitebattleroyale xboxshare    please ban this cheating scum  he is literally invisible ',IND
'sesamestreet bertandernie the conversation about this is so unattractive the creator says he didnt create a character gay and he is being attacked',GRP
'serenawilliams is so full of herselfshe is just as painful to watch as to listen to',IND
'colinkapernaeck has done nothing but sit on his ass and complain it is time black people and die hard white liberals  who think they are down with the cause aka  to wake the heck up or stfu colin is not a civil rights hero or martyr no where near it',IND
' jeff sessions ‘listen to the aclu  antifa  black lives matter’ if you want more chicago shootings   ',OTH
'amazon will ship live christmas trees to your door   but will they stay and put on the damn lights ',OTH
' i bet she is a lot safer when she has sex now tho  or she would not have just one but a few kids  why cant moms get dicked down too ',IND
'conservatives govt   made my life hell whistleblowers say they were threatened by regulator i thought this govt promised to protect whistleblowers  ',OTH
'fortnitebattleroyale xboxshare    please ban this cheating scum  he is literally invisible ',IND
'maga qanon greatawakening inners wwg1wga nowcomesthepain walkaway goodbyedemocrats   ellison accuser says shes been sidelined by her own party ',IND
'boycottnfl  you are dead to me   ',IND
' walkawayfromalldemocrats  michelle was there 8 years and we sure dont need any more bad advice from her now we have a new sheriff in town  whos  maga  get out and vote   all colors  all genders aka all americans ',IND
'blaseyford it is so comical that liberals always want it both ways first women need to be treated as equals but when it comes to ford testifying they say it is unfair to have more men asking her questions which is it dems are women equal or should we receive special treatment',GRP
'ted always has a feel for the most appropriate public behavior but  often  he is unable to control himself gopdysfunction ',IND
'  stick to comedy  you werent that funny yo start with  but that political commentary of yours is pathetic ',IND
' holder needed to be impeached',IND
'believeallwomen just when i think things cant get dumber this happens liberals probably dont realize this because they are children but this isnt equality how about we treat women an men the same pretty sure thatll have better results for culture',GRP
'sierraburgessisaloser  she is me when my phone dings face with tears of joy',IND
' metoo are all racist',GRP
'gop still acting like the wimps they are what they have not yet realized that liberals will hate them regardless of their sentiments either republicans are just too stupid to get out of their own way or they are just tilted to far left confirmkavanaughnow',GRP
'dregsofsociety   deplorables   liberals usually dehumanize those they want to exterminate later ',GRP
'emmyawards2018   ratings tank as expected  who can possibly stand to watch so many liberals in one place at one time',GRP
' gutierrez has always been nothing more than a racebaiter',IND
'elitist actors nbc liberals of dems in hollywood at the emmy awards a toothless nbc self promotion onslaught peppered with metoo cracks but it was planned  staged and okay because they are democrats socialist liberals of the left walkaway  ',IND
'drford  dearprofessorford  is a fraud female  group paid for and organized by georgesoros ',IND
'bluewave dumptrump …give my love 2  or cooperate compromise w   conservatives trump supporters who constantly vilify marginalized groups  who constantly attack women rights 2 make choices about their own bodies …',GRP
'nightmayor s dt cycle track can easily open antifa tennis courts inside crescent heights until we are able to trash nenshi communist vape shop',IND
'arunjaitleystepdown he is most shameless fm in history of india and audacity and shamelessness with which is lies in public is disgrace to post',GRP
