@relation 'train-set'

@attribute 'Document Text' string
@attribute subtask_c {"OTH", "IND", "GRP"}

@data
'  go home you are drunk  maga trump2020 oncoming fistunited statesoncoming fist ',IND
' liberals are all kookoo ',OTH
' was literally just talking about this lol all mass shootings like that have been set ups it is propaganda used to divide us on major issues like gun control and terrorism',GRP
' canada does not need another cuck we already have enough looneyleft liberals fucking up our great country qproofs trudeaumustgo',IND
' you are a lying corrupt traitor nobody wants to hear anymore of your lies deepstatecorruption ',IND
'   gun control that is all these kids are asking for',OTH
'    lol   throwing the bullshit flag on such nonsense  putuporshutup   kavanaugh   maga   callthevotealready ',IND
'  kind of like when conservatives wanna associate everyone to their left as communist antifa members',GRP
'  da fuck is going on people   theres the mens room and the womens room  pick one and stick w it thinking face',GRP
' tbh these days i just dont like people in general i just dont connect with people these days just a annoyance',IND
'the only thing the democrats have is lying and stalling to stop trump from being president  what have they done for you lately trump kavanaugh maga demsuck',GRP
'                                                  you are not very smart are you why do you think gen flynn sentencing keeps being rescheduled ',IND
'   thats expected if you placate the violent leftists terrorists kavanaughconfirmation woke',GRP
'4 out of 10 british people are basically full on racists 4 out of 10 voters vote for the conservatives coincidence',GRP
' fuck off',IND
'  the prison system is so fucked  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like 500 inmates went missing',OTH
'  she is useless  attempts to do the right thing but never follows through',IND
' grateful trump does not have a dog in the white house he is a cruel man',IND
' trump kicks dem butt   its so fun',IND
'   he is dumb and dumber all in one president  its a two for one',IND
' and this from the clown that should be in prison',IND
' thats because you are an old man',IND
'   they are obstructionists anti american pharisees ask them what they are running on and you get nothing maga',OTH
' i mean it worked for gun control right ',GRP
' she is drinking so much koolaid she is bloated',IND
'    the institution only let her tweet when she behaves she is a window licker',IND
'wtc this is a threat  maga qanon wakeupamerica ',IND
'   please call trump out for what he isa narcissistic sociopath',IND
' fuck em',GRP
' good movehe is the big loser',IND
'  there are many dumb arguments for gun control but this may be the dumbest and most common',IND
'   please dont kill me antifa on the other hand',IND
'  she is an ugly black hearted troll ',IND
'  we have been saved from you maga',IND
' you can probably imagine all the sjw snowflakes that dont feel safe working where there might be conservatives lurking in the shadows  conservatives are now the ruskies of the 21st century',IND
' this all i get crying face damn these haters deleting you ig for no reason ',GRP
' sjshsj thats my job bitch',IND
'   what part of no collusion dont you get this is why you are a dumocrat',IND
' if the reason for farakans illegal values are because he is black or muslim  that would be a reason to detest him i believe his illegal values are simply a result of bad character  like his supporters',GRP
' let the leftist democrats riot in the streets with their antifa counterparts',IND
'  antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached',IND
' so has the law changedyou just make an allegation now days and your guilty until proven innocent liberals are mentally ill',GRP
' this game sucks donkey balls',GRP
' absolutely should be a nail in the coffin for hilliary',IND
' he is a dumbass ',IND
'           and levistrauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms ',GRP
' at this point in time i dont think pres trump gives a shit and neither do i lol ',IND
' donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail',IND
' oh my carmen he is so fricking cute',IND
' chelsea is as crazy as her mother',IND
' and the brainless dems wants us to believe that he doesnt have the majority liberals is just like their leaders the corrupts obama and crookedhillary both are real bad losers maga trump',GRP
'  california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control',GRP
'  and yet millions of permit holding people carried legally concealed firearms that same day and did not hurt themselves or anyone else   but yet they want to have stronger gun control   idiots  face with raised eyebrow  our wonderful media has to hype incidents that fits their agenda',GRP
' yes do hurt your selves gun control freaks',GRP
'   bullshit regulations are good because it keeps conservatives from striping our land into the abyss',GRP
' the owner of my culo',IND
'now she scarred herself for life lol maga ',IND
' you fucking  ',IND
'confirm the man the left wing activist is a liar whos story changes no hard evidence christineblaseyford innocent until proven guilty confirmkavanaugh  maga    weakrinos republicans',GRP
'im assuming im not going to get an answer brainless  liberal stooge ocasio cortez   on $40t policy plan  wakeupamerica  this is not americas future vote republican  or surrender america to these dem morons  maga',OTH
'  leftists showing yet again how vile they can be',GRP
' he is a drunk crazy man',IND
' all that money hadnt made u smarter',IND
' by the way why do not you move to haiti  you liberals seem to make shit holes out of large cities so go somewhere where it is already a shit hole so you do not have to do any work ',GRP
'shouldnt pussy grabbing  be the one wearing the gloves while handling food maga ',IND
'            antifa doesnt beat facsists to try to get them to change their mind   they know its a lost cause to try to change a fascists mind they do it to scare them into hiding  to demoralize them  and to stop the spread of their hateful ideology there is no forcing views on others',IND
'firemorningjoe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump ',GRP
'         it does work if you want to control a population  australian gun control had no effect on homicides',OTH
'  liberals ruin everything',GRP
' thats what happens when you let a liberal get a hold of a gun  that would be a good place to start gun control  ban liberals from getting guns',GRP
'  you look happy maga',IND
' yet she is fat herself',IND
'   what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about followers like its a big party i care that they discriminate ',IND
'   may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens do not believe all the shit that goes on in your head',GRP
' cause who bitches be playing with loudly crying faceloudly crying faceloudly crying faceloudly crying face god aint give me the gift for nothing',GRP
' coming from the man that threatened to try and kick turmps ass now dont that take a set of balls',IND
' getting scared ugly man',IND
'amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests',IND
' hahaha big thighs is not going to make it',IND
'maga christineford trump2020 tcot ccot americafirst patriots   brettkavanaugh had this to say about bill clinton during whitewater   its imperative to make his pattern of revolting behavior clear    piece by painful piece   indeed ',IND
