@relation 'train-set'

@attribute id real
@attribute 'Document Text' string
@attribute subtask_a {"NOT", "OFF"}

@data
86426,' she should ask a few native americans what their take on this is',OFF
90194,'  go home you are drunk  maga trump2020 oncoming fistunited statesoncoming fist ',OFF
16820,'amazon is investigating chinese employees who are selling internal data to third party sellers looking for an edge in the competitive marketplace  amazon maga kag china tcot',NOT
62688,' someone shouldvetaken this piece of shit to a volcano face with tears of joy',OFF
43605,'  obama wanted liberals amp illegals to move into red states',NOT
97670,' liberals are all kookoo ',OFF
77444,'  oh noes tough shit',OFF
52415,' was literally just talking about this lol all mass shootings like that have been set ups it is propaganda used to divide us on major issues like gun control and terrorism',OFF
45157,' buy more icecream',NOT
13384,' canada does not need another cuck we already have enough looneyleft liberals fucking up our great country qproofs trudeaumustgo',OFF
82776,'   it is not my fault you support gun control',NOT
42992,' what is the difference between kavanaugh and    one of these men admitted to groping a 15 year old girl years ago  the other is going to be confirmed to the scj   demsarefrauds demsaredone   walkawaydemocrats2018 redwave voteredsaveamerica trumptrain maga ',NOT
28414,' you are a lying corrupt traitor nobody wants to hear anymore of your lies deepstatecorruption ',OFF
54920,'   it should scare every american  she is playing hockey with a warped puck',NOT
56392,'                                                  i like my soda like i like my boarders with a lot of ice',NOT
86735,' you are also the king of taste',NOT
95686,'maga   musical notes sing like no one is listening  heart suit love like youve never been hurt  heavy check mark vote gop when no one is watching  hear no evil monkey  and dont listen to liberals dirt ',NOT
71446,'5 5  the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason guncontrol cdnpoli cdnhist',NOT
23958,' besides jax mom and maybe ope he is hands down my favorite he is like the only good person on the show face with tears of joy',NOT
28195,'   gun control that is all these kids are asking for',OFF
56117,'    lol   throwing the bullshit flag on such nonsense  putuporshutup   kavanaugh   maga   callthevotealready ',OFF
67757,'  you are correct',NOT
12681,'  kind of like when conservatives wanna associate everyone to their left as communist antifa members',OFF
82904,'  da fuck is going on people   theres the mens room and the womens room  pick one and stick w it thinking face',OFF
63236,' been a willie fan since before most of you were bornlove that he is holding a rally with beto exactly which fans are furious  could you give some specifics ',NOT
77665,' tbh these days i just dont like people in general i just dont connect with people these days just a annoyance',OFF
83484,'south korean official leaders will discuss specific denuke measures in pyongyang   tcot maga rednationrising',NOT
74932,'  you can tell he is a hooper too',NOT
91252,' i feel like he is better chasing the title',NOT
25440,'   she  to whom are you referring to  hillary  you know what is tiresome  bernie supporters bashing hillary clinton  she is an actual democrat who raises money for the democratic party and does not bash them  she has a positive message  so who is dividing the left',OFF
81613,' glad to see your friends are supporting metis rights as much as you are supporting zionists ',NOT
82333,' yes you are but i was asking what is it about the movie man shruggingeyes',NOT
12609,'the only thing the democrats have is lying and stalling to stop trump from being president  what have they done for you lately trump kavanaugh maga demsuck',OFF
13017,' no wonder he is being apologetic and more social these day',NOT
18129,'   any updates re ending your blatant racism as windrush amp grenfell proves you are    alloutpolitics politicslive pmqs  ',NOT
70380,'           do you know what is going to happen now  i am going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa',NOT
12108,'                                                  you are not very smart are you why do you think gen flynn sentencing keeps being rescheduled ',OFF
14726,'   thats expected if you placate the violent leftists terrorists kavanaughconfirmation woke',OFF
74358,' blow hard',NOT
82599,'   that means you are a max lvl twitter user and maybe should try a new game',NOT
40212,'  please explain what controlled opposition means  as for bernier escaping  he split with the rest of the conservatives because hes even more racist and exclusionary than they want to be',NOT
78367,'     socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem',NOT
66596,'3 nina  one of the reasons i didnt read this book for so long was because i was so worried about her character i shouldve trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect',NOT
70999,'      please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him    ruleoflaw matters metoo countryoverparty withdrawkavanaugh  stopkavanaugh',NOT
36026,'  ppl who say im not racist are racist you are a racist repeat after me',NOT
29439,' kathy the patriotstatue of liberty  you have to love our great president trump  a spine of us steel changing it on trade amp everything for americans americafirst usa maga leadership amp respect economy jobs peacethrustrength god bless trump amp theusa     grinning face statue of libertystatue of libertystatue of liberty grinning face',NOT
74477,' wow you liberals really do not have a sense of humorface with rolling eyes',NOT
49845,' im so fucking ready',NOT
32305,' holy moly if the catholic people havent been awakened by this  falseprophet  lunatic',NOT
77243,' lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc',NOT
73205,'   what a surprise same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but its not gunna happen',NOT
47311,' me too her wedding was the best she is very pretty',NOT
48553,'  no conflict here do not look at this  soros involved in violent left agenda of antifa also',NOT
75689,'    any of your announcements every come to fruition or is it basically stealing labours ideas to get a few more votes',NOT
84102,'4 out of 10 british people are basically full on racists 4 out of 10 voters vote for the conservatives coincidence',OFF
10607,'guncontrol advocates must stop falling all over themselves to assure electorate that they too love the horrific 2a ',NOT
43913,'  hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material',NOT
98992,' fuck off',OFF
92056,' certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities  i’d like to know if the black population that suffers the most shares her opinion',NOT
33853,'  the prison system is so fucked  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like 500 inmates went missing',OFF
75215,'  she is useless  attempts to do the right thing but never follows through',OFF
96218,'walkaway liberalsyour party is poison ',NOT
57013,' grateful trump does not have a dog in the white house he is a cruel man',OFF
20883,' you are lying stick with the facts we pay more than that now',NOT
74831,' trump kicks dem butt   its so fun',OFF
53264,'   he is dumb and dumber all in one president  its a two for one',OFF
28204,'toxictory minister  attempted to expense £50 charity donation its what   do  toriesmustgo dissolvetheunion  ',NOT
42024,' ur so straight forword manok hand i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur seniorgreen heart artist love for manmarziyaan cowboy hat facethumbs up',NOT
84664,' and this from the clown that should be in prison',OFF
54842,'    did twitter silence alex jones in retaliation of him asking twitter jack questions      ',NOT
48995,' thats because you are an old man',OFF
47153,'   they are obstructionists anti american pharisees ask them what they are running on and you get nothing maga',OFF
76826,'  no youre notyoure here 2 represent the alinskyite orwellian leftist toolampfool view on thingslike 999 of the marxistsampantifa similar 2upsst and b4u use the words fascist or fascism again go ahead amp read dsouzas book the big lieright now u know squat about either',NOT
27645,' i do remember  but somehow centrist antifa haters can never quite seem to bring themselves to condemn such things',NOT
64429,' i mean it worked for gun control right ',OFF
20943,' i think the last thing on the wh or trumps mind is april ryan she needs to stop flattering herself shes not as important as she thinks she is',NOT
78064,' principled conservatives are hypocrickets',NOT
14122,'             dont forget  amp democrat backed antifa',NOT
72353,' she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real red heart',NOT
39051,' bring out his antifa criminal son to campaign for him',NOT
54546,'  i did not watch and will not watch  watching the september 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment protest on a saturday',NOT
50759,'a tear is made of 1 water and 99 feelings',NOT
75992,'  trump addresses gun control representing the nra  i will not let you down he says ',NOT
45068,' she is drinking so much koolaid she is bloated',OFF
17259,' holder needs to be prosecuted',NOT
95225,' but but both players were women and both were women of color',NOT
84667,'    the institution only let her tweet when she behaves she is a window licker',OFF
14574,'*babysitting 3 kids*  peoplehow old do you think she is she has three kids  me*dont get mad do not get mad they do not know they do not know*',NOT
23784,' well ',NOT
93119,'wtc this is a threat  maga qanon wakeupamerica ',OFF
30115,' its easily digestible content   theres no need for nuance or to even understand the story  they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable',NOT
69281,'  try looking for plain old democrats  the liberals are the ones which you ca not have a conversation with',NOT
15322,' great news old moonbeam just went into a coma face with tears of joy',NOT
75089,' omg he is so extra ily',NOT
21379,'   please call trump out for what he isa narcissistic sociopath',OFF
43133,'  unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups',NOT
52102,' i know she is still alivebut wondering if her career was railroaded odd loved herespecially that day',NOT
59537,'  guy you are always presentbet why lol',NOT
44209,'  what a baby ',NOT
96664,' you are very persuasive fam',NOT
12559,' thats nothing new she was going to vote no anywaywe will vote no to liberals in november ',NOT
61914,' burt a cool dude',NOT
32317,'maga if you are all in for trump follow me and i will follow back',NOT
94767,' thank u i am finally at the point where i am okay with using heat on it again i am so happy',NOT
64835,' kind of like what trump does all the time huh',NOT
41353,' because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me',NOT
52252,' fuck em',OFF
91001,' good movehe is the big loser',OFF
18495,' lets get to the bottom of this dm me your zipcode and ill check it out  we have your back and we will make sure you are enjoying the best that tv has to offer asap *nevinbruce',NOT
76680,'    for the record i know doug jones personally and he is only a sen bc we had no other credible choice he wo not be at the next election',NOT
88013,' the president feelings are totally opposite of cnn feelings so what does that say about cnn they are all liberals',NOT
66349,' its literally a narrative that is on par with nazis punch  antifa punch  they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews  the other just wants to prevent them from doing that  and this comparison benefits fash',OFF
80561,'  there are many dumb arguments for gun control but this may be the dumbest and most common',OFF
16052,' she is idk whats going on',NOT
49996,'  yall need to chill he is having a really abysmal 2nd half rizzo had an abysmal 1st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at anytime ',NOT
77086,' dude you are old lmao ps go pack go',NOT
10972,'                                                  thats why trump supporters cant even wear a hat without being abused if they meet the animals on the left attack them antifa is a branch of the communist socialist nazis democrat party',NOT
69160,' the laughs i have gotten from you are enough relieved face',NOT
28380,'   well',NOT
40252,'   first of all  they do not even have pizza at panera',NOT
39907,'   please dont kill me antifa on the other hand',OFF
16164,' did you see shanahan say spoon was not 100 healthy this game obviously no excuses if you are out there but maybe it is not the all is doom sort of thing it seemed during the game maybe he is still pretty good',NOT
52824,' good girl ',NOT
77294,'  she is an ugly black hearted troll ',OFF
13420,'   you are clearly not a pokemon master i have almost 400 in rare candy alone over 150 legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game',NOT
16940,' dont believe the hype',OFF
83816,'             followed all new   maga  please follow back',NOT
99156,'protests reported in sunderland  except these are football fan and one flag says westbrom on it  getting worse now even as i type  maga mega mbga mcga conservatives patriots muslims farleft leftists doomed to lose but do not realises it civilwar soon ',NOT
11255,' liberals would still vote for him theyll claim his comments were taken out of context and that he is still a man of integrity',NOT
28841,'  we have been saved from you maga',OFF
79060,' you are bringing up honor and decency with that yoyo in the picture thats rich',NOT
71682,' good riddance',NOT
17577,' she is a goddess',NOT
27503,' omg xd the worst or the best  in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest standin there like nope he is no suffering so he is dead yeah  pretty dead',NOT
59998,' you can probably imagine all the sjw snowflakes that dont feel safe working where there might be conservatives lurking in the shadows  conservatives are now the ruskies of the 21st century',OFF
81119,'  i see may in the same light as yourself even the last election was about her and not the conservatives  a split is coming to the tory partyvery soon',NOT
28812,' this all i get crying face damn these haters deleting you ig for no reason ',OFF
84131,' do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us',NOT
23179,'    you warned everyone about josh gordon the last 4 months on a daily basis  im sure you are as shocked as i am of what transpired today',NOT
28601,'   why cant liberals read  read it again ',NOT
64776,' sjshsj thats my job bitch',OFF
95712,' do they discuss haiti',NOT
69972,'   what part of no collusion dont you get this is why you are a dumocrat',OFF
37115,' he is very skilledface with tears of joyface with tears of joy',NOT
80696,' you are amazing yellow heartyellow heartyellow heart',NOT
68163,' fist pump was for the troops',NOT
96789,' if the reason for farakans illegal values are because he is black or muslim  that would be a reason to detest him i believe his illegal values are simply a result of bad character  like his supporters',OFF
68629,' let the leftist democrats riot in the streets with their antifa counterparts',OFF
66109,' i thought canada had strict gun control  help me understand what is happening',NOT
19419,' they do not want you following people because they do not like conservatives sickening  how biased twitter management is twitterleftbias',NOT
32942,' he is doing life thoexpressionless face',NOT
74285,' its so very important between now and the midterms to get the word out that all the democrats want people of color to believe is they support them   which as you know is so false how can the word spread even more to those who need to know maga naacp',NOT
77319,'  antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached',OFF
30517,'   have you seen or listened to your antifa pals',NOT
69077,'  in case of antifa take a little bat or something good for you  more of should do that kind of thing',NOT
67758,' your titles scare me a little bit  ',NOT
35944,' gteradicating hiv and malaria in the middle of africa  good bloody luck',NOT
48223,'  the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade ableg cdnpoli',NOT
47168,' and who seems to be getting things done',NOT
53947,'i added a video to a  playlist  combat mon frere vs ismael et maga assassin vs david le boxer yfc 2',NOT
49504,' so has the law changedyou just make an allegation now days and your guilty until proven innocent liberals are mentally ill',OFF
66291,' straight up different  thank joe biden for that one  i also wonder the outcome if her name had been antifa hill',NOT
31229,' this game sucks donkey balls',OFF
75850,' yo for real you are gorgeous',NOT
88546,' absolutely should be a nail in the coffin for hilliary',OFF
29241,'  i hope he gets on twitter so i can tell him how amazing he is red heartgrinning face with smiling eyes',NOT
