@relation 'subtask_b_testset'

@attribute 'Document Text' string
@attribute subtask_b {"TIN", "UNT"}

@data
'whoisq wherestheserver dumpnike declasfisa democrats support antifa  muslim brotherhood  ms13  isis  pedophilia  child trafficking  taxpayer funded abortion  election fraud  sedition and treason lockthemallup wwg1wga qanon ⁦ ',TIN
'nopasaran unity demo to oppose the far right in london – antifa oct13   enough is enough ',TIN
'   what the fuck did he do this time',TIN
' do you get the feeling he is kissing  behind so he can humiliate him later',TIN
' nigga ware da hits at',UNT
'stopkavanaugh he is liar like the rest of the gop ',TIN
'  put delauro in a police lineup identifying the bag lady   she would be picked everytime she has to be proof either conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy no one votes for a woman that gross',TIN
' all family friends   do not tell me  bad shit that your bf gf did to you just to go right back to them',TIN
'christineblaseyford is your kavanaugh accuser liberals try this every time confirmjudgekavanaugh ',TIN
'arianaasesina is that serious holy shit  please your fucking assholes  dont blame someone for the death of other one she is sad enough for today  dont you see it isnt fault of none  he had an overdose and died end stop wanting someone to blame  fuckers',TIN
' how is she hiding her ugly personality she is the worst',TIN
'bitch what ',UNT
'         i am shocked to learn human traffickers had guns  some probably illegal too  ca needs more gun control  but do not worry about the actual crime  the pic of black guns is worse',TIN
'conservatives    youre  a clown  ',TIN
'*voice in my head while i transfer money to my credit card* bullshit that i bought and have to pay for',UNT
'kids beating paraplegic trump boy  left teach their children hate violence  schools teachers democrats liberals walkaway moms mother nea teachthemyoung christian catholic jews evangelicals family blackwomen blacktwitter blacks news media disabled maga ',TIN
'*gets all the bitches*',TIN
'antifa take note of how to protest with civility   this is why socialism aka communism will never win it is inherently evil and unsustainable ',TIN
' omg is he for real  this happened in peru like 40 years ago and the inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i ',TIN
'conservatism101   its not about our disagreements with conservatives its that conservatives cant debate honestly  and they have no integrity whatever gets them thru today  is all that matters to them theyre fundamentally dishonest people ',TIN
'and apparently im committed to going to a new level since i used the key  well fuck  curiosity killed the cathy',UNT
'    then why are not there so many shootings in virginia  jacksonville shooter got his guns in maryland among the poster children for gun control  what good did that do  you are full of crap',TIN
'antifa are bedfellows with the democratic socialists of america dsa who jamesokeefe has exposed as being inserted throughout government  attempting to bring down america  trump magaunited states deepstate  ',TIN
' antifa has ts level influence its scary',TIN
' i have three accounts two quasi anonymous  and one completely anon and if twitter ever bans one of the quasi anon  ill make two anon accounts and tweet the most insane shit i will drown twitter in bullshit if one of those is banned  ill make even more',TIN
'liberals are so pathetic  innocent until proven guilty mean much  democrats should look at their own party if they need a rapist to hang  kavanaughisinnocent walkawayfromdemocrats liberallies are straight from the pitts of hell fire ',TIN
'$10 million reallocated from fema to ice this guy gives zero shits about anyone not named trump if you are in the mid atlantic  get out now ',TIN
'fortnitebattleroyale xboxshare    please ban this cheating scum  he is literally invisible ',TIN
'sesamestreet bertandernie the conversation about this is so unattractive the creator says he didnt create a character gay and he is being attacked',TIN
'serenawilliams is so full of herselfshe is just as painful to watch as to listen to',TIN
'colinkapernaeck has done nothing but sit on his ass and complain it is time black people and die hard white liberals  who think they are down with the cause aka  to wake the heck up or stfu colin is not a civil rights hero or martyr no where near it',TIN
' jeff sessions ‘listen to the aclu  antifa  black lives matter’ if you want more chicago shootings   ',TIN
'amazon will ship live christmas trees to your door   but will they stay and put on the damn lights ',TIN
' i bet she is a lot safer when she has sex now tho  or she would not have just one but a few kids  why cant moms get dicked down too ',TIN
'conservatives govt   made my life hell whistleblowers say they were threatened by regulator i thought this govt promised to protect whistleblowers  ',TIN
'fortnitebattleroyale xboxshare    please ban this cheating scum  he is literally invisible ',TIN
'maga qanon greatawakening inners wwg1wga nowcomesthepain walkaway goodbyedemocrats   ellison accuser says shes been sidelined by her own party ',TIN
'boycottnfl  you are dead to me   ',TIN
' walkawayfromalldemocrats  michelle was there 8 years and we sure dont need any more bad advice from her now we have a new sheriff in town  whos  maga  get out and vote   all colors  all genders aka all americans ',TIN
'blaseyford it is so comical that liberals always want it both ways first women need to be treated as equals but when it comes to ford testifying they say it is unfair to have more men asking her questions which is it dems are women equal or should we receive special treatment',TIN
'ted always has a feel for the most appropriate public behavior but  often  he is unable to control himself gopdysfunction ',TIN
'  stick to comedy  you werent that funny yo start with  but that political commentary of yours is pathetic ',TIN
' holder needed to be impeached',TIN
'believeallwomen just when i think things cant get dumber this happens liberals probably dont realize this because they are children but this isnt equality how about we treat women an men the same pretty sure thatll have better results for culture',TIN
'sierraburgessisaloser  she is me when my phone dings face with tears of joy',TIN
' metoo are all racist',TIN
'gop still acting like the wimps they are what they have not yet realized that liberals will hate them regardless of their sentiments either republicans are just too stupid to get out of their own way or they are just tilted to far left confirmkavanaughnow',TIN
'thearchers i want to be brilliant at karate so i can kick the shit out of everyone',UNT
'dregsofsociety   deplorables   liberals usually dehumanize those they want to exterminate later ',TIN
'emmyawards2018   ratings tank as expected  who can possibly stand to watch so many liberals in one place at one time',TIN
' gutierrez has always been nothing more than a racebaiter',TIN
'elitist actors nbc liberals of dems in hollywood at the emmy awards a toothless nbc self promotion onslaught peppered with metoo cracks but it was planned  staged and okay because they are democrats socialist liberals of the left walkaway  ',TIN
'drford  dearprofessorford  is a fraud female  group paid for and organized by georgesoros ',TIN
'bluewave dumptrump …give my love 2  or cooperate compromise w   conservatives trump supporters who constantly vilify marginalized groups  who constantly attack women rights 2 make choices about their own bodies …',TIN
'nightmayor s dt cycle track can easily open antifa tennis courts inside crescent heights until we are able to trash nenshi communist vape shop',TIN
'arunjaitleystepdown he is most shameless fm in history of india and audacity and shamelessness with which is lies in public is disgrace to post',TIN
'conservatives £2 bn housing on trick     what a crock of shte  housingcrisis  ',TIN
'2 weeks of resp done and i still dont know shit my ass still on vacation mode sleepy face',UNT
'coupdetat of spain in catalona spain is a  fakedemocracy                cddr shameonspain wakeupeurope   ',TIN
'liberalismisamentaldisorder  but it is also a danger to our country liberals are showing themselves to be utterly hateful they do not care about truth  they only care about power',TIN
' these are all  coranated attacks from idiot loons they will get worse much worse before the election can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician idiots',TIN
'  awwww she is so stinking cute how old is she now',TIN
'benghazi  haiti  uraniumone  sethrich what more does the justice department need no double standards just because youre rich and powerful doesnt mean you can rob  seal and murder draintheswamp  hillaryforprison  votered maga ',UNT
'jointhefight    join the fight against american communists democrats  and  liberals have taken this crap to the edge and there is no coming back they are  openly promoting the destruction of  america  jointhefightagainstcommunism ',TIN
'  has stated that any talk of zionist involvement in 9 11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect he should be ashamed of himself but he is not because he is zionel',TIN
'khaleesi kinda watching hiac  wtf does she think she is  a person pffft pathetic ',TIN
'andman shrugging medium skin tone females b on the same shit ',TIN
'declassifydocuments i love watching liberals like maria squirm outnumbered',TIN
'politicsinfocus look donald you are only a duck  stop patronizing me ',TIN
'carbontax works and will put tons more money back into canadian pockets         part of why trudeau won in 2015 was campaigning on a national carbon tax conservatives died then they want another death in 2019we will oblige ',TIN
'antonia evans was either sex trafficked or cremated',TIN
'theview stormy was in trapped by a dollar bill in her face poor pornstar but no worries the democratic party she is the leader of',TIN
'and these entertainment agencies just gonna have to be an ass about it ',TIN
'trump really  everything trump does is another piece of evidence for obstruction of justice he is a talking crime machine',TIN
'disarmthem this goes to show how moronic antifa types are  because this is a good way to encourage some dumbass to rightfully get speedrocked open carry users practice weapon retention gun grabs will go very badly for you if you try you will get shot  so dont do it 2a ',TIN
'christinebford liberalsaredesperate  every time liberals dont get there way they cry racism or sexual assault hard to believe',TIN
'cincinnatienquirer steps into gun control finally took a massshhoting on their damn door step for their editors to wake up  but better late than never ',TIN
'bitch i am fucking coming back ',TIN
'liberals are reaching peak desperation to call on phillipruddock to talk with turnbull to convince him to help with wentworthvotes 18 sept 2018   auspol lnp nswpol     lnpmemes ',TIN
'$uicideboy$ on halloween its aboout to get sooooo fucking spooky',UNT
'democrat controlled city with strict gun control laws and  wants to blame the gop um  is not it you rich democrats trying to keep the blacks in poverty walkaway ',TIN
' got to love that the people making the laws tend to know nothing about the subject theyre making the law for you should hear some of the gun control laws people try to pass here in the states',TIN
' walkawayfromcatholicism it is a corrupt to the core and become a giant autocratic pedophile ring',TIN
'california patriots especially those in ca21  obama soros are attempting to take this house seat to get control of congress  say no to tj cox  he is a shill candidate fronted by the dastardly duo  please get out and vote david valadao for house  dist 21 follow  ',TIN
'  when she takes her nigga name out her bio ',TIN
'arrestgeorgesoros he funds domesticterrorists antifa ',TIN
'conservatives govt have run up debt in spite of austerity cuts while the rich have doubled their wealth inequality   via ',TIN
'crowderconfronts continues to expose that the sjw bullies are paper tigers when conservatives fight back with truth and facts dontbeafraid confrontwithtruth ',TIN
'biggbosstelugu2 how many of you kaushalarmy cum  fans ',TIN
'1 son   knockin it out the fuckin park ',UNT
'   okay and anybody can go to eredivise and score 15+ goals shit league bundesliga teams are competitive in euro competitions mexico has not produced any talent like pulisic in a long time it is okay  maybe you guys will one day',TIN
'kalyani is a very stupid teenager i totally despise her for the atrocities she is doing towards aunty anupriya she blames her for her mom death she should stop and listen to anupriya side of the story before she makes vile accusation   tujhsehairaabta zeetvserials',TIN
'kalyani is a very stupid teenager i totally despise her for the atrocities she is doing towards aunty anupriya she blames her for her mom death she should stop and listen to anupriya side of the story before she makes vile accusation   tujhsehairaabta zeetvserials',TIN
'christian america – if we go by trump example  where liberals support open borders  i guess conservatives support school shootings   please explain how this makes america great again',TIN
'   she is the most disingenuous person in the senate if she was my senator i would hide in shame after her despicable behavior in the scotus hearings',TIN
'democrats liberals you are being threatened by armed nazis and you talk about disarmament of yourselves and of disconnection from the military lifestyle   you should broadcast your armory and killskills rightfuckingnow ',TIN
'699 just wanted to tell you you should hang out with me more i think it’ll be fun also  lmao dick for a tongue so people can easily suck me off haha kidding aside  i aint want a tongue as my dick that looks hella weird but my choice was weird to but whatever',TIN
'avalanche im sorry i see you i love you i was an asshole you know how we are maga',TIN
'ff  he is an alien from the future raising hands light skin tonealiennight with stars ',TIN
'familiarwife jh omg  she is crazy wj waityes  i am interested in assistant manager cha bh you guys look like a good pair vo are you having some just sit over here jh dont do it wj lets live our own life lets do it news collision on hwy  there is congestion jh woo jin ',TIN
'thingsdarthvaderwouldneversay yup   white mask privilege at its finest always trying to keep a black mask down blacklivesmatter qanon antifa alexjones infowars starwars maytheforcebewithyou thirdshiftzombies podcast radio whitesupremacy ',TIN
'all i am saying if we cool and you feel any type of way about me speak the fuck up',TIN
'cuckservative traitors are worse than fortnite players  conservatives triggerwarningradio',TIN
'barbara boxer if liberals want to use rape as a political tactic they had better have some hard evidence her word isnt evidence its called hearsay  on that note  i could say  you   cornered me in a bathroom  and put your hands all over me 35 years ago prove me wrong ',TIN
'constitutionday its very odd for the alt right conservatives to say that we are ruining the constitution just because we want guncontrolnow but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not white wanting to live',TIN
'liberallogic  kavanaugh looks predatory therefore hes guilty  liberals are dangerous people who should not govern anyone or anything ',TIN
'breaking greece molotov cocktails fly after protest honouring killed antifa arti  via  ',UNT
'orrinhatch i ca not believe this sexist   clueless  old fart gets to weigh in on another woman charges against a supreme court nominee and he is spouting the same old nasty shit he spewed 20+ years ago against anita hill his time up good riddance neanderthal',TIN
'4 part 2 didnt have to think too hard to come up with gabriel theyre a lizard themed  glitter bombing  antifa mech pilot using their superhero powers to take down corrupt logging companies theyre a buff lesbian with hearts on their uniform literally whats not to love',TIN
'repost theleadersmindset • • • round pushpinhola leadersfire heavy check marktype ready if you are ready to follow this steps    set goals  stay quiet about them  smash the shit out of them  clap for your damn… ',UNT
'liberals   democrats this is what you stand for if not  then walkaway ',TIN
'beeto just demonstrated how to lose an election in texas    maga  rkba  dvc',TIN
'and have a bitch thinking you niggas have money and you tf do not',TIN
'*extremely* back on my bullshit ',UNT
'7 fucking years mytwitteranniversary ',UNT
'dems are disgusting they only believe women who accuse conservatives of abuse crimes when liberals are accused  they ignore the accusations ',TIN
'christineblaseyford is only being harassed by members of the antifa the radical arm of the democratic party funded by george soros  voteredtosaveamerica',TIN
'50 cent calls out joe buddens bullshit on instagram  ',TIN
'bb20 actually question why do people want jc to win more than angela he has been way meaner  says the n word repeatly  makes fun of eating disorders  and sexually harasses houseguestsshe is just as much as an underdog to win so dont use that excuse bb20  tangela',TIN
'2018 not surprised it starts from the top  karma a bitch watch ',UNT
'alright let me get right with god bc mother nature is like fuck humans ',TIN
'hillary and  least 16 other angrydemocrats worldwarq wwg1wga maga redtsunami americafirst walkaway truth ',TIN
'antifa is recruiting for a designated terrorist organization ',TIN
'hypocrites democratshateamerica liberalismisamentaldisorder everything liberals touch turns to absolute shit ',TIN
'  as i have said the media and money soros with dip shit waters is creating a civil war',TIN
'texas ted cruz campaign is sending people solicitations disguised as official looking county summons elderly residents have been confused by the notice to appear he is so skeezy    ',TIN
'1 tf he saw that shit ',UNT
'anyone who finds m*netas behavior funny can fuck off and die',TIN
'goodmorningamerica  tuesdaymotivation thankyou fathergod the americanpeople will begin to see the truth about our governmentcorruption    mediacorruption noredaction declassifyfisa declassification completely obama hillaryclinton lies leakers liberals ',TIN
' the difference between you and i as i stated before  and this inane asinine comment have solidified is i bring facts and truth  while all you have is lies and bullshit present a single shred of credible evidence to support a single thing youve just said lies is all youve got',TIN
' damn i felt this shit why you so loud lol',TIN
'msnbc hardball  bingo you are absolutely correct he cannot bring president obama down he ca not get over how president obama humiliated him at the white house correspondents dinner and i can guarantee you that is a definite driver of his hate for president obama',TIN
'cnnisfakenews   you wonder why your ratings suck cnnisajoke fakenews maga ',TIN
'$b album definitely worth the fucking wait',UNT
'joescarborough is a vile excuse for a journalist here he is criticizing trump yet refuses to come clean about the death of an intern in his office stop talking about everyone else and start talking about your involvement with loriklausutis ',TIN
'ai not nobody shit if you ask me including myself',UNT
'the dregs of society more labelingand dehumanizing conservativesi suggest we  conservatives keep our ammo dry and our guns loadedif the fascist liberal left think conservatives will go quietly into internment camps or slaughtered in the streets they need a reality check ',TIN
'feinstein you cant say anything truthful  you are a loers and liar ',TIN
'lifeisbutepu when you have sex anytime you want but you are single',UNT
'nigeria naija 9ja you are the most incompetent leader in nigeria history – atiku blasts buhari  by championnewsng via ',TIN
'emmys  well  most of those ex crackheads are liberals and democrats so ',TIN
' diversity only works when those joining the new group want to be a part of the team   islam hates every non muslim   fail  unicorns',TIN
'   so want to kick twitterfuck ass',TIN
'faileddemfeinstein should have quit decades ago she is a disgrace  feinstein blames gop after kavanaugh accuser stays mum  admits i cant say everythings truthful  ',TIN
'   fascism was also against liberals as is antifa according to your meme',TIN
' fuck',UNT
' a grown ass woman  probably 10 years older than me is currently spreading rumors rather than talking to me about it  nice work you got there satan red heart',TIN
'conservatives do not care what you postit is  propaganda ',TIN
'idiots is there nothing beneath them lol what fools liberals are maga kag united statesunited statesunited statesunited statesunited states ',TIN
' the kindest explanation is that he is tone deaf  its hard to feel kind when he and his ilk do this repeatedly',TIN
'amazonpets etta can be tricky to photograph because of her colouring  but she is beautiful and she knows it she is in charge  has first dibs on treats  and will shout for our attention whenever she comes in the house she kills wild rabbits but hangs out in the hutch with ours ',TIN
'sugardaddy retweet if you are under 30 and would like share memes with each other and we can talk about dumb shit cuz baby i am broke as shit but this love rich ',UNT
'geoffreyowens niggas do not really understandlevels to career pursuits',TIN
'what about death  metal  i want more death metal tell me  you hateful keebler elf  where can i have more death metal ',TIN
'kavanaugh is a disciple of anthony kennedy  who wrapped gifted liberals w 3 unconstitutional opinions hes trumps con to con conservatives to thinking faceing scotus is moving right were  smart  theyd do everything to get bk the chequered flag but they wont idiots tuesdaythoughts ',TIN
'america   tear down that wall  tcot partisanship trump thewall borderwall liberty civilsociety think conservatives democrats progressives liberals independent libertarians gop dnc criticalthinking',TIN
'am i a dickhead  probably yes',TIN
'cr1tikal voice smef my ass cheeks',UNT
' cause everyone knows a real leader falls into a van like a sack of potatoes',TIN
'boycottnike campaign must continue and grow  paying overseas staff $020 an hour is not okay because your staff is over there   you are exploiting poor women men in the world  this is more than americans can stand ',TIN
'news jeff sessions if you want more death  listen to the aclu  antifa  black lives matter  cnbc',TIN
'david miliband davidmiliband flew away  in newyork to be with the us liberals democrats   had to flee corbynists hatred of jews',TIN
'anyway this game sucks ',TIN
'ibelieveblaseyford is liar she is fat ugly libreal snowflake she sold her  herself to get some cash  from dems and iran   why she spoke after  johnkerryiranmeeting ',TIN
'conservatives do not represent all canadians   they are authoritarian scum   cdnpoli onpoli ',TIN
'fords attorney says shes receiving death threats and has had to move her family to safety wheres the proof that democrats antifa are not doing this to promote this circus',TIN
'scottgimple ruined thewalkingdead and now he is doing the same to feartwd  hope the checks cash forever because he should never get another job amc',TIN
'another season for tom brady to give it to these niggas',TIN
'lifeisbutepu when you are black and can say the word nigga feel me my niggas ',TIN
'austerity low pay tuitionfees  lack of housing wages falling universalcredit unaffordable rents nhs crisis crap railways empty shops brexit no deal exit from eu windrush grenfell   in just 8 short years the  have completely fucked the uk',TIN
' thosethataretheloudest are afraid  justice is coming bono is a scam just like the clintonfoundation pedowood haiti ',TIN
'3 days before bbc radio 2 festival in a day  they decide to tell us that their headline act is not coming anymore thanks a lot  now i have paid a fortune to see a tonne of acts who are shit and who are of no interest to me expressionless facethumbs up light skin tone',TIN
'tytlive trump needs to go because he is a danger to the country and the world  any way we can get rid of him is good',TIN
' davidhogg  youre nobody',TIN
'28  27  25 and 21 but like   it is still really miserable and unpleasant for us and like they even told me how they were not happy and would have got divorced before i was even born so i am like cool cool i was literally born into hatred that awesome no wonder i am such a fuckup',UNT
'desantis=deracist  as bad a choice as he is  he distanced himself from the prez comments today questioning any deaths in puerto rico from hurricane maria   whataputz',TIN
'0 1 lost my acca on the first fucking fight cba',UNT
'  ill use that one the next time im in a gun control debate or in a debate about free speech or taxes yes you can choose to be irresponsible or choose not to be i argue responsible whats wrong with that dont justify murder by saying it was never alive or its my right',TIN
'  who the hell does he think he is',TIN
'liberalismisamentaldisorder hypocrites democratshateamerica democratsaredangerous everything liberals touch turns to absolute shit ',TIN
'88 of these niggas have podcasts and youtube channels dedicated to this and shit ai not getting solved so ',TIN
'anytime i randomly bust out laughing it is because i remembered some dumb shit albria said loudly crying faceloudly crying face',TIN
'  face with tears of joy you do not like the jewish people because you all claims they are holding all the money sound familiar your left wing libtard  family is the family of the kkk you do not hate jews that funny gun control even funnier good luck',TIN
'5k bitches party popperblue heart',UNT
'liberals always up to dirty tricks to get their way backhand index pointing downbackhand index pointing down ',TIN
'conservatives are more upset about bertenernie being gay than having a sexualpredator in the  a hooker as  and a rapist as supremecourtjustice',TIN
'antifa protest in athens for the 5 years after the murder of pavlos fyssas by golden dawn  their voters are complicit to their crimes killahp ',TIN
'conservatives just like old garbage bags blowing in the wind  heres an old garbage bag now ',TIN
'bakersfield is why we need gun control sorry for the victims other than the gunman himself i hope he rots in hell',TIN
'honoursacrificeboycottmatch i hope d human rights rats r happyhope sidhu is happy  i hope d liberals r happy let play cricket wth thm let thank thm 4 wht they r doing 2our soldiers let celebrate our impotence funny a piddly little nation like pak is taking us 4 a ride',TIN
'confirmkavanaugh white heavy check mark kavanaugh scotus potus45 presidenttrump americafirst magakag prohibitedanti trump liberal activist accuser  ford makes accusation but  not willing to be subject 2 b question suffer the consequence of filing a false charge lockherup  ',TIN
'resist traitors caught on video breaking our laws to further their communist socialism ways and slow down the trump agenda they are the dc chapter of democrat socialists of america forget antifa  that is a distraction from the real resistance maga  ',TIN
'christineblaseyford was grinding kavanaugh at a party almost 40yrs agoyou gotta love the age  of this ridiculous metoo movement   just swear kavanaugh in already and get this over with  before liberals have an anxiety attack like 11 8 16 ',TIN
'corybooker is not a hero  he is an american traitor and should be treated as such arrest  prosecute  and  carry out sentence kavanaughconfirmation  via ',TIN
'100 round goon bitch is you kiddin merolling on the floor laughing',TIN
' morebs = more barrysoetorobullshit',TIN
'tytlive omg how can a latino faith based woman think that trump is christian  wow  he is the poster child for immorality and hating latinos',TIN
' carrey is a pervert himself',TIN
